Species,latitude,longitude
Asclepias syriaca,44.50554,-73.21556
Asclepias syriaca,41.9571,-87.69396
Asclepias syriaca,40.76988,-74.45534
Asclepias syriaca,36.15776,-81.68484
Asclepias syriaca,40.47827,-77.01096
Asclepias syriaca,44.27103,-96.77985
Asclepias syriaca,39.76019,-89.76246
Asclepias syriaca,40.64389,-73.60849
Asclepias syriaca,44.06073,-90.17173
Asclepias syriaca,42.03702,-71.02458
Asclepias syriaca,41.7449,-72.69041
Asclepias syriaca,42.1147,-77.07945
Asclepias syriaca,38.96059,-77.05378
Asclepias syriaca,39.99484,-76.00144
Asclepias syriaca,40.78892,-73.95789
Asclepias syriaca,43.12239,-89.49103
Asclepias syriaca,45.7256,-91.88002
Asclepias syriaca,41.95591,-87.66727
Asclepias syriaca,44.21433,-72.78976
Asclepias syriaca,39.21541,-94.54934
Asclepias syriaca,40.60765,-74.58539
Asclepias syriaca,43.01712,-88.3106
Asclepias syriaca,39.84241,-82.8511
Asclepias syriaca,44.19945,-72.17202
Asclepias syriaca,44.55283,-71.78231
Asclepias syriaca,44.13167,-73.06864
Asclepias syriaca,42.24378,-71.16245
Asclepias syriaca,42.25273,-71.33519
Asclepias syriaca,42.25209,-71.3344
Asclepias syriaca,41.83182,-103.6998
Asclepias syriaca,40.81085,-96.66758
Asclepias syriaca,40.81118,-96.67
Asclepias syriaca,38.82473,-77.64063
Asclepias syriaca,38.8407,-77.64107
Asclepias syriaca,38.84013,-77.64515
Asclepias syriaca,38.06768,-80.2933
Asclepias syriaca,40.77889,-96.63768
Asclepias syriaca,40.81105,-96.66996
Asclepias syriaca,39.47463,-77.74441
Asclepias syriaca,41.81004,-72.25966
Asclepias syriaca,40.8109,-96.6697
Asclepias syriaca,45.44076,-95.28131
Asclepias syriaca,37.74308,-97.27085
Asclepias syriaca,40.58059,-96.50391
Asclepias syriaca,40.44695,-96.67969
Asclepias syriaca,40.44695,-96.67969
Asclepias syriaca,40.44695,-96.67969
Asclepias syriaca,40.82233,-98.32695
Asclepias syriaca,38.52104,-78.43743
Asclepias syriaca,43.73091,-70.29038
Asclepias syriaca,43.58387,-73.04005
Asclepias syriaca,43.98516,-74.23531
Asclepias syriaca,43.33638,-70.55471
Asclepias syriaca,41.82312,-72.31266
Asclepias syriaca,39.03371,-77.15341
Asclepias syriaca,42.47959,-76.45111
Asclepias syriaca,40.07983,-83.03414
Asclepias syriaca,41.06707,-76.29059
Asclepias syriaca,35.98606,-79.05797
Asclepias syriaca,44.89424,-85.92059
Asclepias syriaca,44.29691,-72.50935
Asclepias syriaca,42.31302,-71.03726
Asclepias syriaca,35.99029,-79.05487
Asclepias syriaca,39.76181,-89.75707
Asclepias syriaca,41.72064,-73.47815
Asclepias syriaca,42.80861,-70.86048
Asclepias syriaca,40.11007,-82.71819
Asclepias syriaca,40.94983,-80.0251
Asclepias syriaca,44.98184,-93.25184
Asclepias syriaca,41.14265,-81.60762
Asclepias syriaca,42.06417,-87.675
Asclepias syriaca,42.0642,-87.675
Asclepias syriaca,42.79239,-85.98877
Asclepias syriaca,47.19391,-95.23104
Asclepias syriaca,44.9912,-93.05928
Asclepias syriaca,42.68031,-75.75785
Asclepias syriaca,45.08389,-87.06778
Asclepias syriaca,45.34056,-86.90556
Asclepias syriaca,40.29338,-83.89473
Asclepias syriaca,41.14265,-81.60762
Asclepias syriaca,41.05929,-74.85335
Asclepias syriaca,44.94389,-91.34917
Asclepias syriaca,38.8867,-92.44557
Asclepias syriaca,41.14409,-81.82312
Asclepias syriaca,44.76998,-91.65085
Asclepias syriaca,42.06477,-87.6749
Asclepias syriaca,41.74359,-88.19605
Asclepias syriaca,41.72974,-88.16957
Asclepias syriaca,44.05644,-90.1716
Asclepias syriaca,43.12385,-88.91583
Asclepias syriaca,42.44898,-87.81105
Asclepias syriaca,41.37751,-71.58685
Asclepias syriaca,43.91413,-72.35938
Asclepias syriaca,43.12818,-88.9159
Asclepias syriaca,43.03995,-88.98855
Asclepias syriaca,44.26894,-73.78659
Asclepias syriaca,38.9517,-76.98619
Asclepias syriaca,41.90315,-100.29708
Asclepias syriaca,37.637,-89.83539
Asclepias syriaca,41.53499,-81.65113
Asclepias syriaca,44.88904,-72.69388
Asclepias syriaca,43.75902,-92.00562
Asclepias syriaca,43.06574,-76.29076
Asclepias syriaca,43.06856,-88.89875
Asclepias syriaca,43.62645,-88.67404
Asclepias syriaca,43.34657,-88.98529
Asclepias syriaca,43.34655,-88.98531
Asclepias syriaca,41.98126,-87.73951
Asclepias syriaca,43.0741,-88.94549
Asclepias syriaca,43.94475,-71.69755
Asclepias syriaca,41.65845,-82.82072
Asclepias syriaca,45.11676,-84.58991
Asclepias syriaca,43.40131,-80.48156
Asclepias syriaca,42.37199,-88.02653
Asclepias syriaca,40.89749,-81.36854
Asclepias syriaca,43.03528,-88.92516
Asclepias syriaca,43.62222,-94.9925
Asclepias syriaca,45.9175,-66.66722
Asclepias syriaca,45.16924,-79.58466
Asclepias syriaca,44.83726,-72.25083
Asclepias syriaca,45.06827,-83.43553
Asclepias syriaca,45.35312,-92.68433
Asclepias syriaca,45.35283,-92.68463
Asclepias syriaca,43.07736,-89.5659
Asclepias syriaca,42.91067,-88.48556
Asclepias syriaca,37.74229,-97.26806
Asclepias syriaca,43.58208,-72.48421
Asclepias syriaca,38.98068,-77.2351
Asclepias syriaca,36.15884,-81.68525
Asclepias syriaca,39.03219,-76.24151
