Species,latitude,longitude
Asclepias speciosa,37.56231,-111.74111
Asclepias speciosa,40.67264,-112.30883
Asclepias speciosa,41.58,-117.92
Asclepias speciosa,44.52,-108.07
Asclepias speciosa,42.80069,-116.4025
Asclepias speciosa,41.2625,-111.82556
Asclepias speciosa,40.88,-104.37
Asclepias speciosa,38.61,-119.25
Asclepias speciosa,42.17939,-111.82631
Asclepias speciosa,40.47,-112.48
Asclepias speciosa,50.18333,-98.38611
Asclepias speciosa,37.12533,-118.3886
Asclepias speciosa,38.77306,-120.44972
Asclepias speciosa,49.27094,-101.02361
Asclepias speciosa,49.1739,-98.10518
Asclepias speciosa,49.18141,-98.08589
Asclepias speciosa,39.23017,-107.99704
Asclepias speciosa,39.71342,-105.34557
Asclepias speciosa,39.29565,-106.92341
Asclepias speciosa,39.70374,-105.06732
Asclepias speciosa,39.82934,-105.11595
Asclepias speciosa,40.99002,-105.00921
Asclepias speciosa,40.96028,-104.60296
Asclepias speciosa,39.75654,-104.85847
Asclepias speciosa,39.8247,-105.09618
Asclepias speciosa,39.82482,-105.0976
Asclepias speciosa,39.71649,-104.80399
Asclepias speciosa,37.17232,-105.96821
Asclepias speciosa,40.2227,-105.26972
Asclepias speciosa,39.69531,-104.9706
Asclepias speciosa,39.80215,-105.17471
Asclepias speciosa,39.59358,-104.92135
Asclepias speciosa,40.64529,-105.19042
Asclepias speciosa,40.64511,-105.18959
Asclepias speciosa,39.54118,-104.30837
Asclepias speciosa,40.5534,-105.14689
Asclepias speciosa,39.5478,-105.09638
Asclepias speciosa,39.54938,-105.10192
Asclepias speciosa,38.26226,-103.72553
Asclepias speciosa,37.97539,-105.72325
Asclepias speciosa,38.86521,-120.02598
Asclepias speciosa,39.35306,-120.18222
Asclepias speciosa,41.42583,-122.51667
Asclepias speciosa,38.43448,-107.86792
Asclepias speciosa,39.22779,-120.22729
Asclepias speciosa,40.14306,-121.13778
Asclepias speciosa,39.86667,-121.58333
Asclepias speciosa,38.21479751,-120.4737489
Asclepias speciosa,38.41674229,-120.6046446
Asclepias speciosa,39.6328236,-120.0095467
Asclepias speciosa,38.37354287,-120.6424449
Asclepias speciosa,38.23455623,-119.314512
Asclepias speciosa,39.16527929,-122.7898652
Asclepias speciosa,37.83626041,-119.8546197
Asclepias speciosa,38.47423992,-120.7520487
Asclepias speciosa,37.51722,-118.63416
Asclepias speciosa,38.361,-121.9702
Asclepias speciosa,37.88222,-119.85472
Asclepias speciosa,38.9404,-122.891
Asclepias speciosa,39.50222,-121.33722
Asclepias speciosa,39.3788664,-122.6469849
Asclepias speciosa,38.29,-121.08
Asclepias speciosa,41.73210706,-122.64195
Asclepias speciosa,41.34494675,-122.1929633
